Symptoms,Disease
"Fungal infection, skin rash, nodal skin eruptions, dischromic  patches,",Fungal infection
"Fungal infection,itching, nodal skin eruptions, dischromic  patches,",Fungal infection
"Fungal infection,itching, skin rash, dischromic  patches,",Fungal infection
"Fungal infection,itching, skin rash, nodal skin eruptions,",Fungal infection
"Fungal infection, skin rash, nodal skin eruptions, dischromic  patches,",Fungal infection
"Fungal infection,itching, nodal skin eruptions, dischromic  patches,",Fungal infection
"Fungal infection,itching, skin rash, dischromic  patches,",Fungal infection
"Fungal infection,itching, skin rash, nodal skin eruptions,",Fungal infection
"Fungal infection,itching, skin rash, nodal skin eruptions, dischromic  patches",Fungal infection
"Allergy, continuous sneezing, shivering, chills, watering from eyes",Allergy
"Allergy, shivering, chills, watering from eyes,",Allergy
"Allergy, continuous sneezing, chills, watering from eyes,",Allergy
"Allergy, continuous sneezing, shivering, watering from eyes,",Allergy
"Allergy, continuous sneezing, shivering, chills,",Allergy
"Allergy, shivering, chills, watering from eyes,",Allergy
"Allergy, continuous sneezing, chills, watering from eyes,",Allergy
"Allergy, continuous sneezing, shivering, watering from eyes,",Allergy
"Allergy, continuous sneezing, shivering, chills,",Allergy
"Allergy, continuous sneezing, shivering, chills, watering from eyes",Allergy
"GERD, stomach pain, acidity, ulcers on tongue, vomiting, cough, chest pain,",GERD
"GERD, stomach pain, ulcers on tongue, vomiting, cough, chest pain",GERD
"GERD, stomach pain, acidity, vomiting, cough, chest pain",GERD
"GERD, stomach pain, acidity, ulcers on tongue, cough, chest pain",GERD
"GERD, stomach pain, acidity, ulcers on tongue, vomiting, chest pain",GERD
"GERD, stomach pain, acidity, ulcers on tongue, vomiting, cough",GERD
"GERD, acidity, ulcers on tongue, vomiting, cough, chest pain",GERD
"GERD, stomach pain, ulcers on tongue, vomiting, cough, chest pain",GERD
"GERD, stomach pain, acidity, vomiting, cough, chest pain",GERD
"GERD, stomach pain, acidity, ulcers on tongue, cough, chest pain",GERD
"Chronic cholestasis,itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes","Chronic cholestasis,"
"Chronic cholestasis, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,","Chronic cholestasis,"
"Chronic cholestasis,itching, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,","Chronic cholestasis,"
"Chronic cholestasis,itching, vomiting, nausea, loss of appetite, abdominal pain, yellowing of eyes,","Chronic cholestasis,"
"Chronic cholestasis,itching, vomiting, yellowish skin, loss of appetite, abdominal pain, yellowing of eyes,","Chronic cholestasis,"
"Chronic cholestasis,itching, vomiting, yellowish skin, nausea, abdominal pain, yellowing of eyes,","Chronic cholestasis,"
"Chronic cholestasis,itching, vomiting, yellowish skin, nausea, loss of appetite, yellowing of eyes,","Chronic cholestasis,"
"Chronic cholestasis,itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain,","Chronic cholestasis,"
"Chronic cholestasis,itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes","Chronic cholestasis,"
"Chronic cholestasis,itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes","Chronic cholestasis,"
"Drug Reaction,itching, skin rash, stomach pain, burning micturition, spotting  urination",Drug Reaction
"Drug Reaction,itching, stomach pain, burning micturition, spotting  urination",Drug Reaction
"Drug Reaction,itching, skin rash, burning micturition, spotting  urination",Drug Reaction
"Drug Reaction,itching, skin rash, stomach pain, spotting  urination",Drug Reaction
"Drug Reaction,itching, skin rash, stomach pain, burning micturition",Drug Reaction
"Drug Reaction, skin rash, stomach pain, burning micturition, spotting  urination",Drug Reaction
"Drug Reaction,itching, stomach pain, burning micturition, spotting  urination",Drug Reaction
"Drug Reaction,itching, skin rash, burning micturition, spotting  urination",Drug Reaction
"Drug Reaction,itching, skin rash, stomach pain, spotting  urination",Drug Reaction
"Drug Reaction,itching, skin rash, stomach pain, burning micturition",Drug Reaction
"Peptic ulcer diseae, vomiting, loss of appetite, abdominal pain, passage of gases, internal itching",Peptic ulcer diseae
"Peptic ulcer diseae, vomiting, indigestion, abdominal pain, passage of gases, internal itching",Peptic ulcer diseae
"Peptic ulcer diseae, indigestion, loss of appetite, abdominal pain, passage of gases, internal itching",Peptic ulcer diseae
"Peptic ulcer diseae, vomiting, loss of appetite, abdominal pain, passage of gases, internal itching",Peptic ulcer diseae
"Peptic ulcer diseae, vomiting, indigestion, abdominal pain, passage of gases, internal itching",Peptic ulcer diseae
"Peptic ulcer diseae, vomiting, indigestion, loss of appetite, passage of gases, internal itching",Peptic ulcer diseae
"Peptic ulcer diseae, vomiting, indigestion, loss of appetite, abdominal pain, internal itching",Peptic ulcer diseae
"Peptic ulcer diseae, vomiting, indigestion, loss of appetite, abdominal pain, passage of gases",Peptic ulcer diseae
"Peptic ulcer diseae, vomiting, indigestion, loss of appetite, abdominal pain, passage of gases, internal itching,",Peptic ulcer diseae
"Peptic ulcer diseae, vomiting, indigestion, loss of appetite, abdominal pain, passage of gases, internal itching,",Peptic ulcer diseae
"AIDS, muscle wasting, patches in throat, high fever, extra marital contacts",AIDS
"AIDS, patches in throat, high fever, extra marital contacts,",AIDS
"AIDS, muscle wasting, high fever, extra marital contacts,",AIDS
"AIDS, muscle wasting, patches in throat, extra marital contacts,",AIDS
"AIDS, muscle wasting, patches in throat, high fever,",AIDS
"AIDS, muscle wasting, patches in throat, high fever, extra marital contacts",AIDS
"AIDS, muscle wasting, patches in throat, high fever, extra marital contacts",AIDS
"AIDS, patches in throat, high fever, extra marital contacts,",AIDS
"AIDS, muscle wasting, high fever, extra marital contacts,",AIDS
"AIDS, muscle wasting, patches in throat, high fever,",AIDS
"Diabetes , fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria,",Diabetes
"Diabetes , fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria,",Diabetes
